file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link,catch_any
FakeHeroTokenSale005.csv,0,11,88,1,train,Phishing,29/05/2017 21:59,Train,,False
FakeHeroTokenSale006.csv,1,18,486,0,train,Phishing,01/06/2017 13:29,Train,,True
FakePhishing2753001.csv,9,508,1561,2,train,Phishing,02/01/2019 19:20,Train,,True
FakePhishing697001.csv,1,1,20,0,train,Phishing,31/12/2017 23:13,Train,,True
HarmonyBridge001.csv,9,1366,7189,0,train,Access Control,14/10/2020 15:20,Train,https://techcrunch.com/2022/06/24/harmony-blockchain-crypto-hack/,True
HarmonyBridge002.csv,1,198,1100,0,train,Access Control,13/10/2020 21:36,Train,https://techcrunch.com/2022/06/24/harmony-blockchain-crypto-hack/,True
HarmonyBridge003.csv,1,1412,6248,0,train,Access Control,19/01/2021 20:38,Train,https://techcrunch.com/2022/06/24/harmony-blockchain-crypto-hack/,True
Kucoin001.csv,175,5869,18858,20,train,Access Control,17/09/2020 13:01,Train,https://blog.chainalysis.com/reports/kucoin-hack-2020-defi-uniswap/,True
Kucoin002.csv,177,7711,17067,6,train,Access Control,08/08/2019 2:30,Train,https://blog.chainalysis.com/reports/kucoin-hack-2020-defi-uniswap/,True
LCX001.csv,10,1917,6461,0,train,Access Control,07/06/2019 13:59,Train,https://cointelegraph.com/news/lcx-loses-6-8m-in-a-hot-wallet-compromise-over-ethereum-blockchain,True
Liquid001.csv,54,5415,19531,0,train,Access Control,18/02/2021 13:31,Train,https://www.scorechain.com/blog/liquid-hack-what-we-know-a-few-days-after-the-hack,True
Liquid002.csv,51,72,2944,2,train,Access Control,18/06/2020 10:32,Train,https://www.scorechain.com/blog/liquid-hack-what-we-know-a-few-days-after-the-hack,True
Liquid003.csv,1,14,236,0,train,Access Control,18/06/2020 10:45,Train,https://www.scorechain.com/blog/liquid-hack-what-we-know-a-few-days-after-the-hack,True
Lympo001.csv,1,10,46,0,train,Access Control,29/03/2021 13:10,Train,"https://medium.com/lympo-io/lympo-how-does-it-work-user-reward-solution-description-59660808ce0f#:~:text=does%20it%20work%3F-,User%20reward%20solution%20description,will%20be%20discussed%20in%20detail.",True
Lympo002.csv,0,0,2,1,train,Access Control,10/01/2022 10:57,Train,https://defiyield.app/rekt-database/lympo,False
Lympo003.csv,0,1,18,3,train,Access Control,04/08/2021 13:24,Train,"https://medium.com/lympo-io/lympo-how-does-it-work-user-reward-solution-description-59660808ce0f#:~:text=does%20it%20work%3F-,User%20reward%20solution%20description,will%20be%20discussed%20in%20detail.",False
MerkleTreeVentures001.csv,0,4,15,2,train,Access Control,10/05/2018 15:25,Train,,False
Nexus_Mutual_Founder_Wallet001.csv,1,23,217,0,train,Phishing,04/11/2018 13:51,Train,,True
Opyn001.csv,4,0,41,0,train,Access Control,31/07/2020 8:50,Train,https://peckshield.medium.com/opyn-hacks-root-cause-analysis-c65f3fe249db,True
POKeFARM001.csv,16,46,735,88,train,Rug pull,25/11/2018 14:40,Train,https://archive.ph/H31gM,True
Poly_Network001.csv,10,3875,21115,0,train,Access Control,28/04/2021 5:54,Train,https://www.coindesk.com/markets/2021/08/10/cross-chain-defi-site-poly-network-hacked-hundreds-of-millions-potentially-lost/,True
Saddle_Finance2001.csv,0,354,3449,2,train,Access Control,19/01/2021 16:06,Train,https://defiyield.app/rekt-database/saddle,False
Santa DAO001.csv,4,1,21,0,train,Rug pull,22/10/2020 1:43,Train,https://iconow.net/santadao-hoho-defi-pulls-exit-scam-with-200k/,True
Stazie001.csv,3,47,1636,0,train,Access Control,26/01/2018 20:36,Train,https://coinlive.me/how-did-the-founder-of-nft-game-steal-16-cryptopunks-4516.html,True
SynLev001.csv,1,18,25,1,train,Rug pull,02/11/2020 15:07,Train,https://defiyield.app/rekt-database/synlev,True
SynLev002.csv,0,4,37,3,train,Rug pull,24/12/2020 18:16,Train,https://defiyield.app/rekt-database/synlev,False
THORChain001.csv,6,1556,17399,2,train,Access Control,10/07/2021 1:51,Train,https://www.coindesk.com/markets/2021/07/23/blockchain-protocol-thorchain-suffers-8m-hack/,True
Taylor001.csv,1,0,6,0,train,Access Control,23/03/2018 15:59,Train,https://www.zdnet.com/article/all-of-cryptocurrency-trading-app-taylors-funds-have-been-stolen/,True
Tomatos001.csv,0,1,11,10,train,Rug pull,20/09/2020 8:16,Train,https://web.archive.org/web/20200923085004/https://tomatos.finance/,False
Tomatos002.csv,2,113,2019,0,train,Rug pull,21/10/2019 15:29,Train,https://web.archive.org/web/20200923085004/https://tomatos.finance/,True
Umbrella001.csv,35,229,476,0,train,Access Control,23/03/2021 19:35,Train,https://medium.com/uno-re/umbrella-network-hacked-700k-lost-97285b69e8c7,True
UniCat.csv,8,27,2039,0,train,Rug pull,21/09/2020 0:09,Train,https://zengo.com/unicats-go-phishing/,True
Unidark001.csv,131,106,5818,0,train,Rug pull,01/10/2020 23:57,Train,https://defiyield.app/rekt-database/unidark,True
Upbit001.csv,1,5375,19624,0,train,Access Control,19/10/2019 15:35,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Upbit004.csv,1,1,77,0,train,Access Control,20/08/2021 6:54,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Upbit005.csv,2,5,69,2,train,Access Control,20/08/2021 6:34,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Upbit006.csv,2,0,44,3,train,Access Control,20/08/2021 6:13,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Upbit007.csv,3,1,250,0,train,Access Control,18/08/2021 22:54,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Upbit008.csv,1,0,38,0,train,Access Control,18/08/2021 20:31,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Upbit009.csv,1,1,34,0,train,Access Control,18/08/2021 20:45,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/,True
Vesperi001.csv,1,3,82,0,train,Price Manupilation,20/07/2021 1:49,Train,https://medium.com/vesperfinance/on-the-vesper-lend-beta-rari-fuse-pool-23-exploit-9043ccd40ac9,True
Vesperi002.csv,1,11,206,0,train,Price Manupilation,20/07/2021 2:31,Train,https://twitter.com/VesperFi/status/1455567032536248324,True
Vesperi003.csv,1,7,108,0,train,Price Manupilation,08/10/2021 23:16,Train,https://twitter.com/VesperFi/status/1455567032536248324,True
